1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
52.5,85,4,,,,,,,73.5,165,142,173,25,81000,558.6986174
52,84,3,,,,,,,73,162,140,170,25,79000,544.9035898
51,83,2,,,,,,,72,159,137,166,24,78000,538.006076
50.5,82,1,,,,,,,71.5,156,135,163,24,76000,524.2110484
50,81,0,,,,,,,71,153,133,160,24,75000,517.3135346
49.5,80,,,,,,,,70,150,130,,,73000,503.518507
49,79,,,,,,,,69.5,147,128,,,,
48.5,78,,,,,,,,69,144,126,,,,
48,77,,,,,,,,68,141,124,,,,
47,76,,,,,,,,67.5,139,122,,,,
46.5,75,,,,99.5,,,,67,137,120,,,,
46,74,,,,99,,,,66,135,118,,,,
45.5,73,,,,98.5,,,,65.5,132,116,,,,
45,72,,,,98,,,,65,130,114,,,,
44.5,71,,,100,97.5,,,,64.2,127,112,,,,
44,70,,,99.5,97,,,,63.5,125,110,,,,
43.5,69,,,99,96,,,,62.8,123,109,,,,
43,68,,,98,95.5,,,,62,121,107,,,,
42.5,67,,,97.5,95,,,,61.4,119,106,,,,
42,66,,,97,94.5,,,,60.5,117,104,,,,
41.8,65,,,96,94,,,,60.1,116,102,,,,
41.5,64,,,95.5,93.5,,,,59.5,114,101,,,,
41,63,,,95,93,,,,58.7,112,99,,,,
40.5,62,,,94.5,92,,,,58,110,98,,,,
40,61,,,93.5,91.5,,,,57.3,108,96,,,,
39.5,60,,,93,91,,,,56.5,107,95,,,,
39,59,,,92.5,90.5,,,,55.9,106,94,,,,
38.5,58,,,92,90,,,,55,104,92,,,,
38,57,,,91,89.5,,,,54.6,102,91,,,,
37.8,56,,,90.5,89,,,,54,101,90,,,,
37.5,55,,,90,88,,,,53.2,99,89,,,,
37,54,,,89.5,87.5,,,,52.5,,87,,,,
36.5,53,,,89,87,,,,51.8,,86,,,,
36,52,,,88,86.5,,,,51,,85,,,,
35.5,51,,,87.5,86,,,,50.4,,84,,,,
35,50,,,87,85.5,,,,49.5,,83,,,,
34.8,49,,,86.5,85,,,,49.1,,82,,,,
34.5,48,,,85.5,84.5,,,,48.5,,81,,,,
34,47,,,85,84,,,,47.7,,80,,,,
33.5,46,,,84.5,83,,,,47,,79,,,,
33,45,,,84,82.5,,,,46.2,,79,,,,
32.5,44,,,83.5,82,,,,45.5,,78,,,,
32,43,,,82.5,81.5,,,,44.8,,77,,,,
31.5,42,,,82,81,,,,44,,76,,,,
31,41,,,81.5,80.5,,,,43.4,,75,,,,
30.8,40,,,81,79.5,,,,43,,74,,,,
30.5,39,,,80,79,,,,42.1,,74,,,,
30,38,,,79.5,78.5,,,,41.5,,73,,,,
29.5,37,,,79,78,,,,40.7,,72,,,,
29,36,,,78.5,77.5,,,,40,,71,,,,
28.5,35,,,78,77,,,,39.3,,71,,,,
28,34,,,77,76.5,,,,38.5,,70,,,,
27.8,33,,,76.5,75.5,,,,37.9,,69,,,,
27.5,32,,,76,75,,,,37.5,,68,,,,
27,31,,,75.5,74.5,,,,36.6,,68,,,,
26.5,30,,,75,74,,,,36,,67,,,,
26,29,,,74,73.5,,,,35.2,,66,,,,
25.5,28,,,73.5,73,,,,34.5,,66,,,,
25,27,,,73,72.5,,,,33.8,,65,,,,
24.5,26,,,72.5,72,,,,33.1,,65,,,,
24.2,25,,,,,,,,32.4,,64,,,,
24,24,,,,,,,,32,,64,,,,
23.5,23,,,,,,,,31.1,,63,,,,
23,22,,,,,,,,30.4,,63,,,,
22.5,21,,,,,,,,29.7,,62,,,,
22,20,,,,,,,,29,,62,,,,
21.5,19,,,,,,,,28.1,,61,,,,
21.2,18,,,,,,,,27.4,,61,,,,
21,17,,,,,,,,26.7,,60,,,,
20.5,16,,,,,,,,26,,60,,,,
20,15,,,,,,,,25.3,,59,,,,
,14,,,,,,,,24.6,,59,,,,
,13,,,,,,,,23.9,,58,,,,
,12,,,,,,,,23.5,,58,,,,
,11,,,,,,,,22.6,,57,,,,
,10,,,,,,,,21.9,,57,,,,
,9,,,,,,,,21.2,,56,,,,
,8,,,,,,,,20.5,,56,,,,
,7,,,,,,,,19.8,,56,,,,
,6,,,,,,,,19.1,,55,,,,
,5,,,,,,,,18.4,,55,,,,
,4,,,,,,,,18,,55,,,,
,3,,,,,,,,17.1,,54,,,,
,2,,,,,,,,16.4,,54,,,,
,1,,,,,,,,15.7,,53,,,,
,0,,,,,,,,15,,53,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
